Metro.Status.Code,Number.of.Schools,Agency.ID,Federal.Revenue,Related.Children.in.Poverty,Total.Enrollment
2,4,20066,181000,35,370
2,10,27002,1043000,478,3200
2,12,26040,2912000,1239,7937
3,1,12016,63000,23,71
2,5,3108,764000,280,2374
1,46,20004,8078000,2403,18595
2,6,20028,1075000,421,1956
2,9,34015,2283000,862,5202
2,2,34511,117000,95,579
3,5,10012,484000,138,1027
2,18,26010,2352000,708,11307
3,1,23066,17000,12,76
3,9,14001,2428000,649,3767
3,5,12003,607000,99,970
3,18,17600,3463000,1903,6091
3,19,18600,5391000,944,7091
3,10,18002,-9,1427,4089
3,8,31001,720000,461,2505
2,13,3007,912000,250,7099
3,4,19007,714000,204,1004
3,21,21600,3954000,1515,6692
1,18,15549,2702000,2123,12360
3,4,22129,482000,153,726
3,7,25001,694000,195,2200
2,3,24091,379000,161,760
3,3,29101,361000,145,662
2,8,36029,1129000,585,4872
2,25,3012,3485000,1272,14624
3,1,31008,117000,25,255
3,3,10001,371000,125,620
2,3,20076,697000,172,896
3,7,23008,1738000,742,2900
2,14,3062,2090000,891,7302
3,1,19011,58000,3,100
2,6,26003,1022000,436,3595
3,8,30016,1279000,699,3713
3,5,2017,212000,172,1910
2,5,15004,1087000,443,2867
3,3,8002,480000,204,470
1,109,26001,32193000,11544,53587
3,2,6031,121000,39,168
2,1,15059,134000,19,189
3,9,9002,1731000,614,5769
2,17,26007,2664000,810,9483
3,12,10004,3976000,1037,6915
1,54,24024,11476000,5029,33755
2,5,5001,327000,207,2115
3,4,22095,470000,123,643
3,5,4010,577000,302,1669
2,3,36048,440000,231,924
2,4,34088,274000,149,2689
2,13,24004,1085000,-9,3626
1,25,20019,6006000,2232,11015
3,8,22055,1388000,475,2500
3,2,31005,161000,123,488
3,2,4030,299000,94,890
2,11,3003,980000,238,7377
3,5,10116,1384000,441,1734
2,7,24103,3250000,1259,3930
2,9,101260303,2249000,1276,4397
1,23,121390302,6904000,4163,16409
1,14,108070502,7187000,2348,9058
2,7,123469303,464000,227,4436
2,5,107650603,996000,552,3037
2,3,101631003,903000,476,1536
2,5,127041603,479000,207,3000
3,5,128321103,786000,453,2332
3,5,129540803,529000,284,3034
2,10,114060753,557000,323,7000
2,14,104101252,2404000,1731,8449
2,18,122092102,1121000,412,16575
2,4,108111303,546000,224,2058
2,3,116191503,306000,202,2152
2,6,112671303,488000,195,4149
2,7,123461302,368000,343,5089
3,4,108051503,1059000,379,1886
3,8,110171003,1704000,814,3234
2,6,113361303,432000,229,3344
2,10,115211603,517000,268,7650
2,5,103022253,324000,114,2120
2,6,107651603,1066000,572,3006
2,13,124152003,346000,232,9963
3,10,106172003,1378000,863,4825
2,11,121392303,526000,415,6703
2,7,120452003,1078000,628,6665
2,7,113362303,1003000,838,3600
3,5,104372003,347000,584,2490
1,21,105252602,12591000,5603,12623
2,3,105253303,129000,103,1617
3,2,111292304,149000,93,510
3,8,106612203,1020000,550,2700
2,4,127042853,684000,282,1900
2,8,103024102,797000,420,4460
1,4,108112502,3330000,1589,3570
2,7,104432903,180000,262,2796
2,5,118403003,1220000,622,2206
1,12,118403302,3517000,1529,8365
2,11,107653802,1714000,763,6740
2,10,113363103,950000,563,7173
2,5,104433303,460000,341,2332
2,6,108073503,1092000,564,4022
3,8,111312503,837000,475,2774
3,6,128323703,1139000,658,3491
2,2,104433604,95000,124,710
2,6,117414003,874000,452,3219
3,12,111343603,792000,528,3400
3,2,106166503,916000,226,1250
3,12,110183602,2805000,1276,5147
1,19,113364002,7324000,3654,11036
2,7,115224003,369000,177,4019
2,9,123464502,487000,380,6396
2,8,113364403,497000,314,3189
2,6,103026002,3827000,1471,5162
3,7,116555003,940000,514,2675
2,6,115226003,439000,260,2903
2,3,122097203,167000,175,1109
2,2,119584603,512000,412,1507
2,5,120484803,276000,100,4025
2,14,122097502,1143000,700,10172
3,8,104375302,2472000,1308,3967
2,12,123465602,2065000,1026,6613
2,9,103026902,562000,213,5052
2,5,119356503,584000,300,3342
2,6,120484903,657000,357,5495
2,4,127045853,688000,227,2068
3,2,117083004,563000,300,970
3,2,108056004,432000,200,1229
3,6,106616203,1146000,668,2692
2,7,124156603,610000,213,3852
2,10,121395103,726000,119,7766
2,10,113365203,603000,148,5431
2,10,122098103,876000,429,6783
2,16,122098202,1025000,690,11429
1,259,126515001,182186000,76151,205573
3,6,110177003,851000,541,2320
2,6,120455203,669000,614,5930
2,7,103027503,566000,235,4374
1,19,114067002,10789000,5212,15645
2,10,112675503,744000,472,5299
2,6,101637002,1411000,728,3785
3,5,109248003,533000,359,2579
2,4,121395603,238000,126,1762
2,3,114067503,183000,104,1850
1,18,119357402,4921000,2787,9067
2,7,103028302,787000,361,5628
3,11,116496603,1036000,544,3548
2,5,115218003,635000,467,3177
2,8,113367003,1350000,978,4278
2,9,123467103,489000,258,6384
3,2,111297504,215000,147,857
2,7,125238402,1994000,1185,4044
2,5,107657503,1050000,545,2477
2,7,123467303,422000,215,5321
2,4,123467203,183000,110,2127
1,12,110148002,1108000,537,7369
